course code,course title,course description,active status,start date,end date
SAT  585,Multicultural Therapy,"Considers characteristics and concerns of multiculturally diverse groups along with the impact of socio-political dynamics on health and wellness, including power dynamics inherent in clinical practice.  Definitions of cultural competency are applied to p",Active,SP 2021,SP 2526
SAT  505,Art Therapy Technique I,,Inactive,FA 9697,FA 9798
SAT  610,Thesis,,Inactive,FA 9798,FA 9899
SBL  105,Principles of Biology,This course is intended for Health Science majors who are preparing for careers in a medical or an allied-health profession. It requires a high-school level understanding of biological and chemical concepts and prepares students for advanced courses in ce,Inactive,FA 1617,FA 1920
SAT  710,Special Topics in Art Therapy,,Inactive,SU 9900,SU 0102
SBL  130,"Heredity, Evolution and Society",,Inactive,SP 9596,FA 9596
SAT  525,Art Therapy with Children,"Study and practice of approaches in art therapy specific to the treatment of children. Art as therapy and therapy with children are examined. Through literature and experiential exercises, students explore the application of art therapy technique, methods",Active,SP 0506,SP 2526
SBL  153,General Biology II Laboratory," A research-based, semester-long investigation on how the environment and ecosystem are affected by human impacts, such as pollution.  Throughout their research, students will continue to develop basic laboratory skills and gain experience doing more adva",Active,SP 0506,SP 2526
SBL  150,General Biology I,"The basic principles of life as they relate to the cellular, organismic and population levels of the organization. Topics of discussion include cell structure and function, cell cycle and signaling, carbon chemistry, energy transfer, reproduction, genetic",Active,FA 0809,CA 2526
SAT  550,Special Topics in Art Therapy,,Inactive,SP 9798,SP 9899
SBL  160,Organismal Biology,Study of the evolution of prokaryotes and eukaryotes and the diversity of plants and invertebrate animals.  Primarily intended for Biology majors and for non-science majors with permission of instructor.  Corequisite: SBL161.  Fall semester.  3 credits.,Inactive,FA 1415,CA 2122
SBL  151,General Biology I Laboratory,"An introductory, research-based course where students will conduct multiple short term research projects. Throughout these research projects, students focus on learning basic techniques and using standard lab equipment typically used in biology laboratori",Active,FA 0809,CA 2526
SAT  560,Trauma Theory & Practice,"Introduces prominent theories of traumatic stress and the potential impact of traumatic events and oppressive systems on individuals, families, groups, and communities.  Establishes interventions and treatment modalities for working with those affected by",Active,SP 1920,SP 2526
SBL  208,Human Anatomy & Physiology Lab,,Inactive,FA 9495,FA 9596
SAT  601,Internship 2,"The second of two semesters of supervision seminars focusing on the integration of theory and practice. Students participate in group review of their case material reflecting on: assessment, art-based treatment planning, and ongoing analysis of their own ",Active,FA 1415,SP 2526
SBL  210,Conservation Biology,"This course introduces key ecological principles to understand the importance of the environment, both locally and worldwide, and explore the human role in, and our responsibility to, the environment.  Students explore the causes and consequences of biodi",Inactive,SP 1819,SP 1920
SBL  152,General Biology II,"The second course of the general biology sequence includes a broad spectrum of analysis at the molecular through a global scale.  Topics of study include biodiversity, speciation, the origins of life on earth, and evolution of plants and animals. Offered ",Active,SP 0506,SP 2526
SAT  930,Culminating Project Oral Present'n,"The culminating project demonstrates an integration of the student's academic program of study with clinical experiences that occur during internship. Design of the project, the final product, and an oral presentation of the project are approved by the st",Active,FA 1415,SP 2526
SBL  217,Human Anatomy & Physiology II Lab,"Continuation of topics begun in SBL214, reinforcing topics covered in SBL216.  Prerequisite: SBL215. Corequisite: SBL216. Spring semester. 1 credit. Fee.",Inactive,SP 0506,SP 1516
SBL  120,Global Infections and Inequalities,"This course introduces students of all majors to infectious diseases across the world with a special emphasis on Africa, Latin America, and the Caribbean. Students will learn from global examples and examine the consequences of human inequalities on the s",Active,FA 2425,FA 2526
SBL  216,Human Anatomy & Physiology II,Continuation of topics begun in SBL214.  Prerequisite: SBL214.  Spring semester.  3 credits.,Inactive,SP 0506,SP 1516
SBL  134,Human Biology and Medicine,"Students use an inquiry-based approach to become informed evaluators of an unorthodox medical therapy. Studies in the scientific disciplines of physiology, immunology, nutrition, and pathology enable students to formulate and articulate rational conclusio",Active,FA 1415,FA 2526
SBL  219,Microbiology Laboratory,A survey course of the laboratory methods for studying microbes. Students explore microbes from both general and human-related standpoints. Students identify one unknown bacterial strain and maintain a laboratory notebook. Emphasis on skill development of,Active,SP 1415,SP 2526
SBL  220,Comparative Vertebrate Anatomy,"Anatomical features of vertebrates compared within the contexts of both function and evolutionary adaptation to different environments.  Corequisite: SBL221. Prerequisites: SBL162 and SBL163. Spring semester, odd-numbered years. 3 credits.",Inactive,SP 1011,SP 1819
SBL  136,Mammals of the World,,Inactive,SP 9394,SP 9495
SBL  141,Medical Terminology,An introductory study of medical terminology presented as background for work in the health professions.  When Offered: Fall and spring semesters. Fee.,Active,FA 0809,SP 2526
SBL  161,Organismal Biology Laboratory,Laboratory study of the diversity of plants and invertebrate animals.  Introduction to basic techniques of biological study in the laboratory.  Primarily intended for Biology majors and for non-science majors with permission of instructor.  Corequisite: S,Inactive,FA 1415,CA 2122
SBL  221,Comparative Vertebrate Anatomy Lab,"A fundamental knowledge of gross anatomy through the careful dissection of selected vertebrates.  Corequisite: SBL220. Spring semester, odd-numbered years. 1 credit. Fee.",Inactive,SP 1011,SP 1819
SBL  201,Human Anatomy,,Inactive,SP 9596,SP 9495
SBL  271,Ecological Plant Physiology Lab,,Inactive,FA 0809,FA 0910
SBL  233,Ecology Laboratory,,Inactive,FA 0304,FA 0506
SBL  207,Human Anatomy and Physiology,,Inactive,FA 9495,FA 9596
SBL  300,Biology Seminar,Discussions of topics pertinent to the practice of biology. This course partially fulfills the biology capstone requirement.   When Offered: Fall semester. Prerequistite(s): (SBL 150 and SBL 151) or (SBL 152 and SBL 153).,Active,FA 0809,FA 2526
SBL  212,Genetics,"Study of the basic principles of genetics. Topics include the molecular basis of heredity, Mendelian and non-Mendelian inheritance, structure and function of chromosomes, and biotechnological applications.     When Offered: Spring semester. Prerequistite(",Active,FA 0809,SP 2526
SBL  301,Research Seminar,Identification of biological problem and library research.  Permission required. Fall and spring semesters. 1 credit.,Inactive,FA 0809,FA 1617
SBL  218,Microbiology,"Study of the basic concepts of microbiology from a human health and disease perspective. Topics include: basic microbial cell biology and genetics, immunology, virology, pathogenicity, antimicrobial therapeutics, epidemiology and public health, and diseas",Active,SP 1415,SP 2526
SBL  235,Ecology and Evolution,This course examines ecological theory and application within an evolutionary context. Ecological processes will be investigated at multiple scales ranging from the individual to the ecosystem.   When Offered: Fall semester. Prerequistite(s): SBL 152 or p,Active,FA 2122,FA 2526
SBL  224,Invertebrate Zoology,,Inactive,FA 9697,FA 9899
SBL  229,Animal Physiology,"An investigation of the integrated function of animals and their component organs and organ systems. While taking a comparative approach in the study of functional adaptations to different environments, similarity of function on the cellular level is also",Inactive,SP 0506,SP 1920
SBL  238,Medical Genetics,"Study of the structure and function of chromosomes and genes with an emphasis on the medical relevance of genetics. Topics include: gene and chromosome structure and function; clinical cytogenetics; genetic, environmental, and behavioral factors in diseas",Active,FA 1415,SP 2526
SBL  232,Ecology,,Inactive,FA 0304,FA 0506
SBL  248,Cell Biology Laboratory,"Inquiry-based, semester-long investigation of cell structure and function to complement topics in SBL 247. Students gain first-hand experience with techniques commonly used in cell biological research including quantitative and qualitative survival assays",Active,FA 0809,SP 2526
SBL  302,Research,"The student, under supervision of a professor, applies theory and methodology of biology in a research experience.  When Offered: Fall and spring semesters. Repeatable for credit. Fee.",Active,FA 0809,FA 2526
SBL  250,Vertebrate Physiology,"An intermediate-level study of the fundamental life processes of vertebrates.  Topics include neuroendocrine regulation, sensory systems, respiration, circulation, fluid balance, digestion, and energy metabolism.  Class time will include periodic discussi",Active,SP 2021,SP 2526
SBL  315,Biotechnology,"Study of the advanced concepts and experimental techniques used in modern biotechnology, especially those commonly used by professionals in the areas of basic research, medicine, and bioremediation.  Aspects of medical, animal, plant, and microbial biotec",Active,FA 1415,FA 1415
SBL  270,Ecological Plant Physiology,,Inactive,FA 0809,FA 0910
SBL  320,Conservation Biology,,Inactive,FA 0304,FA 0304
SBL  305,Histology,"This course is designed to provide an understanding of the fundamental concepts of histology.  Students will be asked to visually identify various cell and tissue types, describe the differences among the different cells and tissues of the body, and under",Active,SP 1920,SP 2425
SBL  335,Conservation Biology,"This course introduces key ecological principles to understand the importance of the environment, both locally and worldwide, and explore the human role in, and our responsibility to, the environment. Students explore the causes and consequences of biodiv",Active,SP 2122,SP 2324
SBL  311,Teaching Biology,"Primarily laboratory instruction, which includes lecturing and assistance under the supervision of a faculty member. It is not substitute-teaching and is intended to give the student first-hand experience and involvement in the teaching process. Must be a",Active,FA 0809,SP 2526
SBL  316,Biotechnology Laboratory,"Application of life science techniques used by professional in research laboratories to a research project to discover and characterize novel bacteriophages.  Topics include: creating a safe workplace, working safely with chemical and biological hazards, ",Inactive,FA 1415,FA 1415
SBL  340,Immunology,"A foundations course in immunology exploring such topics as innate and adaptive immunity, antigen recognition and T and B-cell mediated immunity, as well as the role of the immune system in human health and disease. This course is designed to firmly estab",Active,FA 2223,FA 2425
SBL  326,Molecular Biology Laboratory,"Students in this course utilize laboratory skills to apply the knowledge and techniques learned in the lecture. Students are introduced to the techniques used by molecular biologists.  Prerequisites: (SBL212 and SBL213) or (SBL238 and SBL213), and (SBL247",Inactive,FA 1112,FA 1920
SBL  403,Clinical Lab Clinical Educ II,Second 6 months of study.   Offered: Offered as needed. Prerequisiste(s): SBL 402.  Pass/Fail only. Fee.,Active,SP 0506,SP 2425
SBL  401,Honors,,Inactive,FA 0809,FA 9596
SBL  405,Special Topics in Biology: Virology,In-depth study of a specific topic in biological science.  Credits: Variable. When Offered: As needed. Fee. Prerequisite:  SBL 247 or permission of instructor.,Active,SP 0506,SP 2324
SBL  325,Molecular Biology,"This course provides students with an understanding of macromolecular mechanisms found in living things. Topics focus on the molecular nature of the gene and the regulation of its expression, methods of molecular biology, and the current state of molecula",Active,FA 1112,FA 2526
SBL  402,Clinical Lab Clinical Educ I,The student studies medical technology for 6 months in an affiliated hospital school. Credits: 16. When Offered: Fall semester. Fee. Pass/Fail only.,Active,FA 0809,FA 2425
SBL  410,Independent Study,Taught by arrangement with professor.    Permission Required. Repeatable for credit.,Active,FA 0809,SP 2526
SBL  430,Internship,"An intensive field learning experience with a career focus. Activities involve the student in direct work responsibilities under the supervision of a recognized expert in a particular field. A contract must be developed by the student, faculty advisor, an",Active,SP 1415,SP 2526
SBU  206,Auditing,"Study of the procedures employed by certified public accountants and internal auditors in the examination of financial statements. Ethical, statistical, and theoretical aspects of auditing are examined in context of preparation of the auditor's report.   ",Active,FA 1415,FA 2526
SBL  420,Field Work,"Practical experience in a hospital, health, or conservation agency, or other area of applied biology. The work must be supervised and evaluated, and a paper submitted.    Permission Required. Repeatable for credit. Fee.",Active,FA 0809,SP 2526
